epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,540.03,0.74269,0.53477,1.47565,0.89725,0.86796,0.916,0.73842,0.73117,0.58422,1.4294,0.00179705,0.00179705,0.00179705
43,552.871,0.76295,0.55518,1.48911,0.936,0.83061,0.90244,0.72152,0.74021,0.61658,1.41453,0.0017921,0.0017921,0.0017921
44,565.642,0.76673,0.58629,1.47174,0.92348,0.84178,0.9025,0.71056,0.77611,0.63083,1.44254,0.00178715,0.00178715,0.00178715
45,578.75,0.73257,0.5358,1.43211,0.90497,0.84994,0.90568,0.74513,0.70445,0.58056,1.40321,0.0017822,0.0017822,0.0017822
46,591.415,0.75694,0.56,1.50675,0.93968,0.85317,0.92056,0.74885,0.69956,0.58719,1.40788,0.00177725,0.00177725,0.00177725
47,604.124,0.73772,0.55687,1.49801,0.91879,0.8641,0.92255,0.74371,0.74811,0.57961,1.3704,0.0017723,0.0017723,0.0017723
48,616.977,0.72881,0.54323,1.47541,0.94548,0.85193,0.92391,0.74993,0.71361,0.58579,1.41796,0.00176735,0.00176735,0.00176735
49,630.546,0.72825,0.53415,1.45452,0.9096,0.87018,0.91269,0.74519,0.70871,0.58165,1.41822,0.0017624,0.0017624,0.0017624
50,643.641,0.75856,0.56327,1.44565,0.91305,0.85193,0.91411,0.72393,0.77718,0.59168,1.4309,0.00175745,0.00175745,0.00175745
51,656.708,0.71037,0.51545,1.42993,0.93817,0.83097,0.90099,0.72769,0.73337,0.61173,1.43818,0.0017525,0.0017525,0.0017525
52,669.948,0.72108,0.52855,1.48407,0.94609,0.8357,0.92228,0.74457,0.73659,0.59174,1.3689,0.00174755,0.00174755,0.00174755
53,682.644,0.73239,0.53194,1.43459,0.9501,0.80933,0.90148,0.72922,0.75888,0.66836,1.37737,0.0017426,0.0017426,0.0017426
54,695.506,0.75249,0.54909,1.47612,0.93692,0.83976,0.91442,0.72966,0.73751,0.60141,1.40418,0.00173765,0.00173765,0.00173765
55,708.268,0.73893,0.53196,1.4887,0.94138,0.85396,0.92353,0.75311,0.71149,0.5694,1.36807,0.0017327,0.0017327,0.0017327
56,721.052,0.74834,0.54823,1.45268,0.95827,0.83842,0.90094,0.73771,0.7187,0.63737,1.36916,0.00172775,0.00172775,0.00172775
57,734.404,0.73225,0.53084,1.45839,0.96369,0.84381,0.9272,0.74694,0.74878,0.5873,1.35792,0.0017228,0.0017228,0.0017228
58,747.568,0.74704,0.53446,1.44671,0.95069,0.84787,0.92037,0.7379,0.75009,0.61824,1.4199,0.00171785,0.00171785,0.00171785
59,760.513,0.73835,0.53588,1.43552,0.92537,0.83003,0.90496,0.73788,0.69857,0.62262,1.39208,0.0017129,0.0017129,0.0017129
60,773.259,0.70891,0.53172,1.41124,0.93097,0.8357,0.91226,0.7427,0.71257,0.59707,1.43911,0.00170795,0.00170795,0.00170795
61,785.965,0.71006,0.51809,1.44367,0.92628,0.86659,0.92576,0.76188,0.68518,0.56212,1.45567,0.001703,0.001703,0.001703
62,798.915,0.69901,0.52049,1.43416,0.93933,0.84796,0.92175,0.75104,0.72432,0.58798,1.38425,0.00169805,0.00169805,0.00169805
63,811.613,0.73137,0.53353,1.42847,0.96215,0.82509,0.91887,0.7558,0.70512,0.60992,1.34482,0.0016931,0.0016931,0.0016931
64,824.241,0.7147,0.51755,1.41879,0.96055,0.82961,0.90311,0.73704,0.73192,0.67137,1.40586,0.00168815,0.00168815,0.00168815
65,836.76,0.70963,0.50464,1.43308,0.92807,0.83747,0.90833,0.74208,0.72035,0.60291,1.36906,0.0016832,0.0016832,0.0016832
66,849.884,0.73194,0.53575,1.4684,0.93296,0.84688,0.9254,0.761,0.71405,0.56761,1.39669,0.00167825,0.00167825,0.00167825
67,862.672,0.70951,0.51358,1.43802,0.95745,0.81339,0.90011,0.7474,0.71336,0.67769,1.407,0.0016733,0.0016733,0.0016733
