epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2116,1.35146,2.6789,1.27951,0.92424,0.76557,0.85306,0.52131,1.33221,2.05283,1.15288,0.0033121,0.0033121,0.0033121
2,49.0815,1.34015,1.50197,1.19445,0.88413,0.78022,0.81132,0.48482,1.34134,1.4698,1.20352,0.00662899,0.00662899,0.00662899
3,72.5873,1.36751,1.22792,1.1923,0.73111,0.68132,0.7107,0.35511,1.6017,1.44781,1.37759,0.00992937,0.00992937,0.00992937
4,95.1869,1.43053,1.13634,1.23335,0.87209,0.67582,0.7566,0.46546,1.42572,1.23747,1.28867,0.00992575,0.00992575,0.00992575
5,117.992,1.3944,1.00891,1.23669,0.87128,0.78105,0.83669,0.5134,1.37247,1.01507,1.25603,0.009901,0.009901,0.009901
6,139.941,1.37062,0.95251,1.24809,0.8441,0.78022,0.81776,0.43778,1.5217,1.14981,1.3471,0.00987625,0.00987625,0.00987625
7,162.283,1.37633,0.92631,1.24667,0.94047,0.78123,0.85299,0.50149,1.43547,0.93511,1.29134,0.0098515,0.0098515,0.0098515
8,185.591,1.3516,0.90385,1.2435,0.93712,0.79153,0.85738,0.53374,1.32261,0.85901,1.26652,0.00982675,0.00982675,0.00982675
9,207.986,1.33888,0.86924,1.23524,0.91945,0.81531,0.87754,0.55284,1.32177,0.87384,1.21858,0.009802,0.009802,0.009802
10,230.873,1.34552,0.85974,1.23243,0.95008,0.79121,0.88515,0.54709,1.33079,0.79607,1.25177,0.00977725,0.00977725,0.00977725
11,258.48,1.32741,0.82058,1.22282,0.93167,0.73993,0.83858,0.46689,1.5042,0.92451,1.36806,0.0097525,0.0097525,0.0097525
12,333.437,1.31055,0.81361,1.2254,0.92163,0.81841,0.87598,0.53294,1.39816,0.78154,1.28836,0.00972775,0.00972775,0.00972775
13,448.111,1.30549,0.79082,1.21505,0.9436,0.82234,0.89635,0.55395,1.34471,0.73963,1.2357,0.009703,0.009703,0.009703
14,587.045,1.30058,0.78118,1.20943,0.93872,0.84066,0.90361,0.56478,1.32843,0.71361,1.23107,0.00967825,0.00967825,0.00967825
15,723.504,1.29272,0.79508,1.22403,0.93614,0.83229,0.89721,0.5551,1.33793,0.73159,1.26187,0.0096535,0.0096535,0.0096535
16,868.176,1.27684,0.76274,1.21331,0.91928,0.85531,0.90243,0.56251,1.29487,0.74212,1.24412,0.00962875,0.00962875,0.00962875
17,1023.91,1.29928,0.76938,1.20971,0.93281,0.84066,0.89628,0.57529,1.29124,0.7043,1.22584,0.009604,0.009604,0.009604
18,1126.25,1.29879,0.76271,1.20806,0.94832,0.80662,0.89008,0.54852,1.3538,0.76286,1.25685,0.00957925,0.00957925,0.00957925
19,1213.55,1.27797,0.73671,1.19434,0.96479,0.85313,0.92345,0.58949,1.28229,0.66565,1.20984,0.0095545,0.0095545,0.0095545
20,1361.95,1.26478,0.73342,1.20502,0.90701,0.86996,0.90816,0.58248,1.2589,0.68036,1.2275,0.00952975,0.00952975,0.00952975
21,1500.76,1.26201,0.72663,1.20567,0.96694,0.83883,0.90169,0.54817,1.35015,0.711,1.23312,0.009505,0.009505,0.009505
22,1645.8,1.26304,0.71411,1.18984,0.89437,0.79121,0.87359,0.52547,1.38722,0.81645,1.2827,0.00948025,0.00948025,0.00948025
23,1785.49,1.25917,0.71988,1.18305,0.94034,0.77473,0.85423,0.53634,1.3282,0.8507,1.23805,0.0094555,0.0094555,0.0094555
24,1936.6,1.24101,0.70434,1.17837,0.91112,0.85714,0.90896,0.596,1.26487,0.6327,1.21128,0.00943075,0.00943075,0.00943075
25,2000.2,1.25337,0.69819,1.17823,0.93771,0.86447,0.91307,0.59015,1.27662,0.64267,1.20844,0.009406,0.009406,0.009406
26,2059.63,1.22988,0.68586,1.17608,0.91192,0.84799,0.91473,0.59563,1.24617,0.6285,1.18677,0.00938125,0.00938125,0.00938125
27,2192.92,1.22502,0.68698,1.1732,0.95789,0.85348,0.92567,0.59563,1.25832,0.62215,1.20621,0.0093565,0.0093565,0.0093565
28,2326.52,1.23606,0.68519,1.17683,0.93896,0.88645,0.92852,0.61054,1.22818,0.59277,1.18288,0.00933175,0.00933175,0.00933175
29,2490.66,1.23919,0.69079,1.16991,0.95254,0.85897,0.92203,0.60819,1.22823,0.61454,1.17943,0.009307,0.009307,0.009307
30,2642.93,1.22557,0.67397,1.16837,0.94453,0.86447,0.92878,0.60746,1.24371,0.61048,1.19652,0.00928225,0.00928225,0.00928225
31,2749.17,1.22654,0.69408,1.17126,0.94729,0.85572,0.9131,0.60384,1.21834,0.59874,1.17364,0.0092575,0.0092575,0.0092575
32,2908.26,1.22869,0.67044,1.17611,0.95329,0.88095,0.93871,0.60103,1.24071,0.61353,1.17009,0.00923275,0.00923275,0.00923275
33,2984.86,1.20758,0.66841,1.15585,0.9356,0.87811,0.92388,0.60563,1.24456,0.61837,1.19119,0.009208,0.009208,0.009208
34,3091.76,1.19661,0.66427,1.16806,0.94344,0.85539,0.91889,0.59661,1.2486,0.62819,1.19482,0.00918325,0.00918325,0.00918325
35,3178.76,1.21962,0.66104,1.15301,0.96123,0.8663,0.93051,0.618,1.22036,0.59589,1.17597,0.0091585,0.0091585,0.0091585
36,3252.32,1.21439,0.65101,1.16626,0.95645,0.87546,0.92594,0.6082,1.22946,0.5985,1.17781,0.00913375,0.00913375,0.00913375
37,3313.53,1.20709,0.65509,1.14918,0.96101,0.87179,0.9277,0.61585,1.22177,0.58988,1.17749,0.009109,0.009109,0.009109
38,3442.17,1.19577,0.64793,1.1626,0.96688,0.85549,0.92636,0.61642,1.23428,0.59788,1.19099,0.00908425,0.00908425,0.00908425
39,3554.41,1.19043,0.64553,1.15188,0.96282,0.88828,0.93978,0.60977,1.22443,0.58766,1.18574,0.0090595,0.0090595,0.0090595
40,3676.06,1.19921,0.63962,1.14975,0.95424,0.87847,0.92795,0.6116,1.20834,0.57723,1.17416,0.00903475,0.00903475,0.00903475
41,3783.11,1.19945,0.64566,1.1583,0.95683,0.86081,0.91747,0.59646,1.2331,0.59843,1.17574,0.00901,0.00901,0.00901
42,3927.07,1.18407,0.63497,1.1429,0.94024,0.89335,0.93598,0.61483,1.21664,0.57657,1.17488,0.00898525,0.00898525,0.00898525
43,4014.11,1.18764,0.63954,1.15309,0.94886,0.88354,0.92698,0.60381,1.24017,0.59612,1.17754,0.0089605,0.0089605,0.0089605
44,4067.31,1.17788,0.63806,1.13761,0.95302,0.88462,0.93049,0.60524,1.22972,0.59138,1.1774,0.00893575,0.00893575,0.00893575
45,4109.18,1.1743,0.63407,1.13843,0.96766,0.87684,0.93831,0.61903,1.21796,0.56786,1.17092,0.008911,0.008911,0.008911
46,4132.38,1.1798,0.63502,1.13847,0.96143,0.88828,0.93563,0.614,1.21881,0.56469,1.17458,0.00888625,0.00888625,0.00888625
47,4154.62,1.17634,0.64207,1.13693,0.96785,0.88205,0.93634,0.61652,1.20643,0.56699,1.16289,0.0088615,0.0088615,0.0088615
48,4176.99,1.17702,0.62785,1.13708,0.93688,0.91026,0.94327,0.61751,1.19913,0.57376,1.14943,0.00883675,0.00883675,0.00883675
49,4199.59,1.18565,0.63539,1.13787,0.93959,0.88462,0.93267,0.62148,1.19799,0.5605,1.16681,0.008812,0.008812,0.008812
50,4222.34,1.1848,0.625,1.13764,0.93547,0.90659,0.93646,0.61909,1.21663,0.55885,1.16764,0.00878725,0.00878725,0.00878725
51,4244.98,1.16125,0.60725,1.13737,0.96623,0.89088,0.93507,0.61229,1.22195,0.56463,1.18261,0.0087625,0.0087625,0.0087625
52,4267.73,1.16549,0.61747,1.12102,0.95902,0.90001,0.93998,0.62114,1.19962,0.56402,1.15259,0.00873775,0.00873775,0.00873775
53,4289.58,1.17049,0.61822,1.12516,0.93992,0.87912,0.93204,0.62129,1.18689,0.54842,1.14548,0.008713,0.008713,0.008713
54,4311.02,1.15668,0.59678,1.13477,0.96864,0.90517,0.9379,0.62681,1.18922,0.54981,1.15024,0.00868825,0.00868825,0.00868825
55,4333.15,1.15336,0.60161,1.12602,0.96058,0.89249,0.94402,0.6258,1.20653,0.55758,1.16229,0.0086635,0.0086635,0.0086635
56,4356,1.16084,0.61283,1.12878,0.94952,0.87912,0.93442,0.6177,1.19037,0.57127,1.15186,0.00863875,0.00863875,0.00863875
57,4380.15,1.17225,0.61253,1.1317,0.95759,0.86845,0.93523,0.62475,1.20428,0.55697,1.1556,0.008614,0.008614,0.008614
58,4404.55,1.17438,0.61142,1.14022,0.95689,0.89445,0.9377,0.62626,1.19236,0.54205,1.14653,0.00858925,0.00858925,0.00858925
59,4428.62,1.16051,0.60105,1.12425,0.97355,0.87636,0.94572,0.62804,1.19413,0.52326,1.14858,0.0085645,0.0085645,0.0085645
60,4452.28,1.13909,0.59827,1.11566,0.96861,0.87729,0.94211,0.62502,1.18901,0.54915,1.15712,0.00853975,0.00853975,0.00853975
61,4475.33,1.16231,0.60485,1.12832,0.95852,0.88886,0.93096,0.62585,1.21358,0.55867,1.16218,0.008515,0.008515,0.008515
62,4498.12,1.15255,0.59821,1.11881,0.95663,0.88875,0.93498,0.62529,1.19875,0.53337,1.15739,0.00849025,0.00849025,0.00849025
63,4520.85,1.15759,0.60648,1.12652,0.94553,0.89744,0.94293,0.62532,1.18355,0.54519,1.15382,0.0084655,0.0084655,0.0084655
64,4543.8,1.14576,0.59685,1.133,0.95192,0.90659,0.94096,0.63176,1.18812,0.53434,1.16592,0.00844075,0.00844075,0.00844075
65,4566.19,1.14062,0.59328,1.11778,0.96148,0.88828,0.92699,0.62415,1.19167,0.53677,1.14695,0.008416,0.008416,0.008416
66,4587.46,1.13408,0.58371,1.11014,0.94627,0.9031,0.93355,0.62449,1.19448,0.52408,1.15542,0.00839125,0.00839125,0.00839125
67,4610.03,1.12858,0.5868,1.10698,0.9553,0.88828,0.94072,0.60886,1.22462,0.55406,1.17236,0.0083665,0.0083665,0.0083665
68,4632,1.1458,0.58838,1.11273,0.96129,0.8956,0.94857,0.63712,1.18018,0.53837,1.14128,0.00834175,0.00834175,0.00834175
69,4655.2,1.14447,0.58849,1.11405,0.95339,0.8991,0.93921,0.62559,1.16854,0.53859,1.13732,0.008317,0.008317,0.008317
70,4677.44,1.14125,0.5864,1.11219,0.9446,0.91209,0.94953,0.62835,1.18115,0.52582,1.13887,0.00829225,0.00829225,0.00829225
71,4699.19,1.14282,0.58536,1.10814,0.9638,0.8956,0.94712,0.63176,1.18023,0.51551,1.15554,0.0082675,0.0082675,0.0082675
72,4721.55,1.14227,0.58583,1.12623,0.94952,0.89577,0.9432,0.63015,1.18785,0.53832,1.14938,0.00824275,0.00824275,0.00824275
