epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00425,1.43292,3.94885,1.3776,0,0,0,0,0,0,0,0.00024,0.00024,0.00024
2,5.39644,1.419,2.56954,1.25403,0,0,0,0,0,0,0,0.000497525,0.000497525,0.000497525
3,7.71304,1.37919,2.25458,1.2276,0,0,0,0,0,0,0,0.000752476,0.000752476,0.000752476
4,10.0935,1.40987,2.1901,1.22424,0,0,0,0,0,0,0,0.00100485,0.00100485,0.00100485
5,12.5787,1.4668,2.01076,1.2798,0,0,0,0,0,0,0,0.00125466,0.00125466,0.00125466
6,15.0063,1.48428,2.06934,1.30761,0,0,0,0,0,0,0,0.00150189,0.00150189,0.00150189
7,17.3904,1.39638,1.93197,1.26052,0,0,0,0,0,0,0,0.00174654,0.00174654,0.00174654
8,19.7731,1.42892,1.78324,1.27164,0,0,0,0,0,0,0,0.0019307,0.0019307,0.0019307
9,22.022,1.42862,1.68073,1.26518,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
10,24.0933,1.50397,1.6829,1.29487,0,0,0,0,0,0,0,0.0019109,0.0019109,0.0019109
11,26.1319,1.44009,1.63308,1.31248,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
12,28.435,1.43376,1.54679,1.25643,0,0,0,0,0,0,0,0.0018911,0.0018911,0.0018911
13,30.6933,1.40807,1.41881,1.27365,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
14,32.9441,1.36372,1.36996,1.2583,0,0,0,0,0,0,0,0.0018713,0.0018713,0.0018713
15,35.0224,1.44194,1.43931,1.29462,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
16,37.1422,1.39121,1.33371,1.26039,0,0,0,0,0,0,0,0.0018515,0.0018515,0.0018515
17,39.24,1.35556,1.2089,1.2419,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
18,41.264,1.29937,1.18505,1.21861,0,0,0,0,0,0,0,0.0018317,0.0018317,0.0018317
19,43.3491,1.34411,1.16364,1.2124,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
20,45.7042,1.37731,1.12981,1.24218,0,0,0,0,0,0,0,0.0018119,0.0018119,0.0018119
